VEHICLE_CLASS,ENGINE_SIZE_L_,FuelConsCity,FuelConsHwy,CityMPG,HwyMPG,CO2
SUV - SMALL,3.6,12.7,7.9,22,36,242
MINICOMPACT,1.4,7.3,5.8,39,49,152
MINICOMPACT,1.4,7.3,5.8,39,49,152
MINICOMPACT,1.4,7.4,5.7,38,50,154
MINICOMPACT,1.4,6.7,5.2,42,54,138
MINICOMPACT,1.4,7.3,5.8,39,49,152
MINICOMPACT,1.4,7.4,5.7,38,50,154
MINICOMPACT,1.4,6.4,4.9,44,58,131
MINICOMPACT,1.4,7.3,5.8,39,49,152
STATION WAG,1.4,8.7,6,32,47,172
STATION WAG,1.4,8,6,35,47,163
FULL-SIZE,2,4.6,5.3,61,53,113
VAN - CARGO,4.6,15.9,12.3,18,23,329
VAN - CARGO,5.4,17.4,12.6,16,22,350
VAN - PASSE,4.6,16.8,12.5,17,23,340
VAN - PASSE,6.8,21.8,15.3,13,18,435
VAN - PASSE,5.4,18.7,13.3,15,21,375
SUV - SMALL,2,9.9,6.6,29,43,193
SUV - SMALL,3.5,11.1,7.3,25,39,216
SUV - SMALL,3.5,11.8,7.8,24,36,230
SUV - SMALL,3.7,12.2,8.8,23,32,244
SUV - SMALL,1.6,9.1,6.2,31,46,179
SUV - SMALL,2,9.5,6.7,30,42,189
SUV - SMALL,2.5,9.5,6.3,30,45,186
SUV - SMALL,1.6,9.2,6.6,31,43,184
SUV - SMALL,2,9.8,7.1,29,40,198
SUV - STAND,5.4,16.4,11.3,17,25,324
SUV - STAND,2,10.4,7,27,40,205
SUV - STAND,3.5,13.2,9.1,21,31,260
SUV - STAND,3.5,12.2,8.2,23,34,239
SUV - STAND,3.5,12.7,8.7,22,32,251
PICKUP TRUC,3.5,12.9,9,22,31,255
PICKUP TRUC,3.5,13,9,22,31,258
PICKUP TRUC,6.2,16.5,11,17,26,324
PICKUP TRUC,3.5,14.2,9.6,20,29,278
PICKUP TRUC,3.5,13.8,9.3,20,30,271
PICKUP TRUC,6.2,18.2,12.3,16,23,356
PICKUP TRUC,3.7,12.5,8.7,23,32,248
PICKUP TRUC,3.7,12.5,8.7,23,32,248
PICKUP TRUC,5,14.7,10.5,19,27,294
PICKUP TRUC,5,14.7,10.5,19,27,294
PICKUP TRUC,3.7,13.4,9.7,21,29,269
PICKUP TRUC,3.7,13.4,9.7,21,29,269
PICKUP TRUC,5,15.1,10.7,19,26,301
PICKUP TRUC,5,15,10.6,19,27,301
PICKUP TRUC,6.2,18.5,12.8,15,22,368
SUBCOMPACT,1.6,7.3,5.4,39,52,150
SUBCOMPACT,1.6,7.4,5.3,38,53,150
SUBCOMPACT,1,6.3,4.5,45,63,126
SUBCOMPACT,1.6,6.8,4.8,42,59,136
COMPACT,1.6,7.7,5.7,37,50,156
SUV - STAND,3.5,11.7,7.9,24,36,230
SUV - STAND,3.5,12.2,8.6,23,33,244
SUV - STAND,3.5,13.2,8.8,21,32,258
COMPACT,2,8.9,6.2,32,46,175
COMPACT,2,7.6,5.3,37,53,152
COMPACT,2,7.7,5.3,37,53,152
COMPACT,2,7.8,5.5,36,51,156
